Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Tasks total time (s),Average total time (s),Tasks wasted execution delay (s),Average wasted execution delay (s),Tasks wasted waiting time (s),Average wasted waiting time (s),Tasks wasted total time (s),Average wasted total time (s),Average real total time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Tasks success rate,Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,TEST,10,1286.4903,0.4219,450.8,0.1479,1737.2903,0.5698,10.7802,0.49,4.4,0.2,15.1802,0.69,0.5707,3050,3027,0,22,0,1,0,2254,2232,667,667,129,128,99.24590163934427,16799.644000000157,11761.972000000105,16799.644000000157,7944.9500000006465,0.0,0.0,12.062621626845761,1.4023,11.247,0.2327,0.5412,21.7418,1.4495,0.4724,0.4724,0.0038,0.0009,21.2657,2.1266,0,0,0,-1.0,[],[]
ALL,TEST,20,4195.8713,0.6998,469.4,0.0783,4665.2713,0.7781,25.9925,0.4261,10.2,0.1672,36.1925,0.5933,0.7762,6000,5938,0,61,0,1,0,2350,2299,3299,3289,351,350,98.96666666666667,56101.26000000161,29005.156000000003,56101.26000000161,22844.64999999629,0.0,0.0,10.213287846192168,2.8692,22.4733,4.356,0.74,61.2199,2.4488,1.0055,1.0055,0.3331,0.0833,59.8813,2.9941,0,0,0,-1.0,[],[]
ALL,TEST,30,8908.8686,0.9981,542.4,0.0608,9451.2686,1.0588,79.5462,0.4323,28.8,0.1565,108.3462,0.5888,1.0494,8950,8765,0,184,0,1,0,2734,2590,5389,5350,827,825,97.93296089385476,73391.88400000097,33873.928000000036,73391.88400000097,38407.6999999991,0.0,0.0,12.109766135853116,6.0157,19.9705,15.6672,3.0956,103.5953,2.9599,0.8432,0.8432,1.3825,0.3456,101.3696,3.379,0,0,0,-1.0,[],[]
ALL,TEST,40,13817.9498,1.1631,1180.5845,0.0994,14998.5342,1.2625,151.7952,0.6273,29,0.1198,180.7952,0.7471,1.2522,11900,11655,0,242,0,3,0,4953,4808,5997,5927,950,920,97.94117647058823,67569.46800000139,19857.603999999814,67569.46800000139,53308.150000009504,0.0,0.0,10.271611811485005,9.8325,12.5698,27.7243,6.7364,141.439,3.1431,0.436,0.436,2.5198,0.63,138.4832,3.4621,0,0,0,-1.0,[],[]
ALL,TEST,50,15657.2199,1.0544,2689.0919,0.1811,18346.3118,1.2355,279.1196,0.6521,138.9673,0.3247,418.087,0.9768,1.2283,14950,14513,0,428,0,9,0,5651,5450,7668,7472,1631,1591,97.07692307692308,144925.55200000014,59678.667999999634,144925.55200000014,61900.50000001654,0.0,0.0,10.138478346842966,8.835,21.5556,29.9343,5.5977,167.1832,3.0397,0.8564,0.8564,2.6594,0.6649,163.6674,3.2733,0,0,0,-1.0,[],[]
ALL,TEST,60,18140.8981,1.024,7229.4186,0.4081,25370.3168,1.4321,410.2219,0.636,684.8165,1.0617,1095.0384,1.6977,1.4415,17900,17243,0,645,0,12,0,4720,4507,11456,11093,1724,1643,96.32960893854748,324487.9679999895,143789.08799999993,324487.9679999895,76772.25000003177,0.0,0.0,8.875546459300386,11.7121,37.3016,29.7234,9,204.1857,3.1413,1.6533,1.6533,2.5248,0.6312,200.0076,3.3335,0,0,0,-1.0,[],[]
ALL,TEST,70,21402.3104,1.0563,14694.0089,0.7252,36096.3193,1.7815,693.0901,0.637,2004.6395,1.8425,2697.7296,2.4795,1.8171,20850,19741,0,1088,0,21,0,5910,5581,12370,11682,2570,2478,94.6810551558753,427037.27999998454,185046.98799999943,427037.27999998454,91625.15000004604,0.0,0.0,9.429792151501657,11.5755,42.5056,36.4558,8.4695,243.9575,3.2528,1.8698,1.8698,3.1465,0.7866,238.9412,3.4134,0,0,0,-1.0,[],[]
ALL,TEST,80,25812.6321,1.1234,19303.0965,0.8401,45115.7286,1.9635,947.8755,0.6328,4087.5787,2.7287,5035.4542,3.3615,2.0491,23800,22285,0,1498,0,17,0,6270,5830,13128,12161,4402,4294,93.6344537815126,509855.8319999799,219881.28399999932,509855.8319999799,107216.60000005855,0.0,0.0,10.147424857623282,16.4807,45.4647,42.0302,13.7477,284.8118,3.3507,1.9963,1.9963,3.6532,0.9133,279.1624,3.4895,0,0,0,-1.0,[],[]
ALL,TEST,90,28823.3468,1.1195,24325.6504,0.9448,53148.9972,2.0643,1218.3174,0.6746,5638.2019,3.1219,6856.5192,3.7965,2.1778,26850,25019,0,1806,0,25,0,6797,6308,14567,13379,5486,5332,93.1806331471136,584323.5439999672,252157.33599999978,584323.5439999672,114975.25000007232,0.0,0.0,10.290001707961606,21.1091,47.2109,43.6266,18.9577,303.1841,3.1914,2.062,2.062,3.7634,0.9409,297.3588,3.304,0,0,0,-1.0,[],[]
ALL,TEST,100,34998.7585,1.2506,31626.1653,1.1301,66624.9238,2.3807,2155.4348,0.7701,11496.083,4.1072,13651.5178,4.8773,2.6077,29800,26955,0,2799,0,46,0,7294,6491,15158,13365,7348,7099,90.45302013422818,662850.6279999497,288542.46799999976,662850.6279999497,130147.70000008208,0.0,0.0,11.07589161691698,29.5168,48.3778,47.1625,28.0261,342.0762,3.2579,2.1683,2.1683,4.2314,1.0579,335.6765,3.3568,0,0,0,-1.0,[],[]
