Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Tasks total time (s),Average total time (s),Tasks wasted execution delay (s),Average wasted execution delay (s),Tasks wasted waiting time (s),Average wasted waiting time (s),Tasks wasted total time (s),Average wasted total time (s),Average real total time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Tasks success rate,Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,TEST,10,1281.2362,0.4201,457.2,0.1499,1738.4362,0.57,9.7902,0.4895,4,0.2,13.7902,0.6895,0.5708,3050,3030,0,20,0,0,0,2286,2266,764,764,0,0,99.34426229508196,16497.476000000122,11541.572000000122,16497.476000000122,7945.000000000659,0.0,0.0,9.731320503420864,1.1214,11.2693,0.2665,0,21.5838,1.4389,0.4726,0.4726,0.0043,0.0011,21.1069,2.1107,0,0,0,-1.0,[],[]
ALL,TEST,20,4221.2497,0.7035,476,0.0793,4697.2497,0.7829,27.1322,0.4448,10.6,0.1738,37.7322,0.6186,0.7812,6000,5939,0,61,0,0,0,2380,2327,3048,3041,572,571,98.98333333333333,56152.2800000017,29031.683999999947,56152.2800000017,22844.999999996337,0.0,0.0,12.23966694731977,3.1929,22.2951,4.368,1.2093,61.4947,2.4598,0.9959,0.9959,0.3415,0.0854,60.1573,3.0079,0,0,0,-1.0,[],[]
ALL,TEST,30,8896.6404,0.9972,532.4,0.0597,9429.0404,1.0568,80.559,0.4262,29.2,0.1545,109.759,0.5807,1.047,8950,8760,0,189,0,1,0,2686,2540,5597,5558,667,662,97.87709497206704,73821.00400000038,34070.25200000002,73821.00400000038,38417.249999998596,0.0,0.0,11.312966998163972,6.1127,20.1186,15.5581,3.2356,103.2951,2.9513,0.8517,0.8517,1.3663,0.3416,101.0772,3.3692,0,0,0,-1.0,[],[]
ALL,TEST,40,13699.3803,1.1539,1167.0763,0.0983,14866.4565,1.2522,151.9137,0.6383,27.6,0.116,179.5137,0.7543,1.2424,11900,11657,0,238,0,5,0,4956,4818,5936,5871,1008,968,97.95798319327731,68514.08400000144,20396.815999999813,68514.08400000144,53307.40000000956,0.0,0.0,10.204164970924706,9.411,13.5995,27.367,6.2438,141.731,3.1496,0.4856,0.4856,2.4878,0.6219,138.7577,3.4689,0,0,0,-1.0,[],[]
ALL,TEST,50,15549.2591,1.0467,2831.8396,0.1906,18381.0987,1.2373,256.4499,0.646,142.1414,0.358,398.5913,1.004,1.2312,14950,14545,0,397,0,8,0,5594,5410,8009,7828,1347,1307,97.29096989966555,154663.06399999824,65446.5319999997,154663.06399999824,61930.700000016775,0.0,0.0,9.490905317242548,9.2042,22.866,29.0636,6.1009,166.4923,3.0271,0.9215,0.9215,2.5664,0.6416,163.0043,3.2601,0,0,0,-1.0,[],[]
ALL,TEST,60,18338.2825,1.0338,6714.5738,0.3785,25052.8564,1.4123,409.3804,0.6624,552.0433,0.8933,961.4238,1.5557,1.4171,17900,17277,0,618,0,5,0,4742,4543,11180,10838,1978,1896,96.5195530726257,310952.00399998797,136955.82400000028,310952.00399998797,76804.35000003185,0.0,0.0,9.530096797071993,13.9253,36.4947,28.826,11.6427,203.0419,3.1237,1.6136,1.6136,2.4441,0.611,198.9842,3.3164,0,0,0,-1.0,[],[]
ALL,TEST,70,21707.1738,1.0667,13691.3796,0.6728,35398.5534,1.7396,648.2397,0.6393,1717.2626,1.6936,2365.5023,2.3328,1.7677,20850,19822,0,1014,0,14,0,5951,5625,12297,11708,2602,2489,95.06954436450839,410765.3999999859,179071.25200000036,410765.3999999859,91633.65000004573,0.0,0.0,9.36468865375456,14.346,41.2093,35.2673,11.7139,241.965,3.2262,1.806,1.806,3.0333,0.7583,237.1257,3.3875,0,0,0,-1.0,[],[]
ALL,TEST,80,25754.1813,1.1203,18953.5674,0.8245,44707.7487,1.9447,927.5076,0.6486,3786.1587,2.6477,4713.6662,3.2963,2.0239,23800,22353,0,1430,0,17,0,6287,5871,13077,12150,4436,4332,93.9201680672269,513438.25199997955,221992.1159999993,513438.25199997955,107158.40000005864,0.0,0.0,10.321200631783102,16.4862,45.7895,41.8164,13.7649,284.7356,3.3498,2.0115,2.0115,3.6359,0.909,279.0882,3.4886,0,0,0,-1.0,[],[]
ALL,TEST,90,29212.6607,1.1366,23330.9947,0.9078,52543.6554,2.0443,1165.6705,0.6311,5858.55,3.1719,7024.2204,3.803,2.1623,26850,24981,0,1847,0,22,0,6596,6098,14033,12825,6221,6058,93.0391061452514,583538.6799999655,253182.17999999967,583538.6799999655,114989.7000000718,0.0,0.0,11.009062539968774,22.0343,46.4863,44.0677,19.9494,304.4706,3.205,2.0331,2.0331,3.8256,0.9564,298.6119,3.3179,0,0,0,-1.0,[],[]
ALL,TEST,100,35001.5572,1.2443,30366.8167,1.0796,65368.3739,2.3239,1654.6045,0.6272,10175.9233,3.8574,11830.5278,4.4847,2.5091,29800,27123,0,2638,0,39,0,7222,6518,15159,13410,7419,7195,91.01677852348993,663755.5119999473,288492.0720000004,663755.5119999473,130017.75000008281,0.0,0.0,10.941083254210053,30.8243,49.25,47.4981,29.4056,340.5332,3.2432,2.1406,2.1406,4.118,1.0295,334.2746,3.3427,0,0,0,-1.0,[],[]
ALL,TEST,110,40252.7018,1.3363,36130.1493,1.1994,76382.851,2.5357,2896.5794,0.7837,19350.4197,5.2355,22246.9992,6.0192,2.9164,32750,28974,0,3696,0,80,0,7827,6841,15339,12894,9584,9239,88.47022900763359,741148.839999946,327471.32799999975,741148.839999946,144032.10000004436,0.0,0.0,11.668578289570062,36.6507,51.1951,52.2248,35.4865,378.3057,3.2896,2.2512,2.2512,4.6478,1.1619,371.4067,3.3764,0,0,0,-1.0,[],[]
ALL,TEST,120,44592.0105,1.4041,43285.2407,1.3629,87877.2512,2.767,5172.7742,1.0085,33237.8294,6.4804,38410.6036,7.4889,3.4235,35700,30483,0,5129,0,88,0,8139,6815,16442,13020,11119,10648,85.38655462184875,841017.3999999311,373732.6880000007,841017.3999999311,158548.6500000026,0.0,0.0,12.343724954678057,42.7559,53.8198,55.6051,41.8884,414.818,3.3185,2.4113,2.4113,5.0304,1.2576,407.3762,3.3948,0,0,0,-1.0,[],[]
ALL,TEST,130,48089.9362,1.3917,43156.352,1.2489,91246.2882,2.6405,5686.8447,1.0289,34538.249,6.249,40225.0937,7.2779,3.28,38750,33122,0,5527,0,101,0,8639,7216,16768,13114,13343,12792,85.47612903225806,881866.1599999223,396404.6439999996,881866.1599999223,167315.69999997166,0.0,0.0,12.524836141966302,46.6847,53.9792,56.4219,46.0918,434.4115,3.2179,2.3582,2.3582,5.0019,1.2505,427.0515,3.285,0,0,0,-1.0,[],[]
ALL,TEST,140,53602.5451,1.472,49002.823,1.3456,102605.3681,2.8176,7283.0845,1.0916,49172.7833,7.37,56455.8678,8.4616,3.6915,41700,34897,0,6672,0,131,0,8768,6976,17739,13409,15193,14512,83.68585131894484,990594.6519999021,451984.3400000014,990594.6519999021,181497.34999994357,0.0,0.0,12.779859781593153,51.2338,58.2421,59.6737,50.7485,469.4861,3.2378,2.5614,2.5614,5.283,1.3207,461.6418,3.2974,0,0,0,-1.0,[],[]
ALL,TEST,150,60487.4247,1.5747,51209.4939,1.3332,111696.9186,2.9079,9638.5447,1.2453,61171.2358,7.9033,70809.7805,9.1486,3.9545,44650,36790,0,7740,0,120,0,9087,7115,17779,12764,17784,16911,82.39641657334826,1053043.2279999033,483459.4319999992,1053043.2279999033,196252.94999989835,0.0,0.0,13.323837598476675,60.8592,57.9341,60.477,60.9087,504.1637,3.2527,2.5768,2.5768,5.4492,1.3623,496.1377,3.3076,0,0,0,-1.0,[],[]
ALL,TEST,160,65315.3279,1.6192,54768.2502,1.3577,120083.5781,2.9769,10156.3106,1.1499,73375.8128,8.3079,83532.1234,9.4579,4.1411,47600,38605,0,8832,0,163,0,9306,6912,18530,13012,19764,18681,81.1029411764706,1157726.147999895,534064.1640000009,1157726.147999895,210583.2999998682,0.0,0.0,13.403013131432823,63.0538,59.9802,61.2567,63.1606,536.9664,3.2543,2.6782,2.6782,5.5131,1.3783,528.7751,3.3048,0,0,0,-1.0,[],[]
