Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Tasks total time (s),Average total time (s),Tasks wasted execution delay (s),Average wasted execution delay (s),Tasks wasted waiting time (s),Average wasted waiting time (s),Tasks wasted total time (s),Average wasted total time (s),Average real total time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Tasks success rate,Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,TEST,10,1283.2741,0.4207,460,0.1508,1743.2741,0.5716,8.8102,0.4895,3.6,0.2,12.4102,0.6895,0.5723,3050,3032,0,18,0,0,0,2300,2282,627,627,123,123,99.40983606557377,16489.07200000009,11595.18000000013,16489.07200000009,7945.000000000649,0.0,0.0,11.484810887725855,1.3886,11.2791,0.2187,0.5201,21.7359,1.4491,0.4726,0.4726,0.0035,0.0009,21.2597,2.126,0,0,0,-1.0,[],[]
ALL,TEST,20,4245.9158,0.7078,473.4,0.0789,4719.3158,0.7867,22.6204,0.435,9,0.1731,31.6204,0.6081,0.7851,6000,5948,0,52,0,0,0,2368,2323,3501,3494,131,131,99.13333333333334,54994.18800000129,28347.440000000006,54994.18800000129,22844.89999999637,0.0,0.0,8.67262131984667,3.4059,22.0533,4.4398,1.5074,60.7009,2.428,0.9844,0.9844,0.3355,0.0839,59.3809,2.969,0,0,0,-1.0,[],[]
ALL,TEST,30,8941.2887,1.0016,534.6,0.0599,9475.8887,1.0615,84.8015,0.4305,30.2,0.1533,115.0015,0.5838,1.0512,8950,8753,0,197,0,0,0,2696,2545,5607,5567,647,641,97.79888268156425,73300.00800000032,33668.59200000002,73300.00800000032,38417.699999998724,0.0,0.0,11.404111127867933,6.9278,20.1543,15.7076,4.2419,102.9884,2.9425,0.8381,0.8381,1.3567,0.3392,100.7936,3.3598,0,0,0,-1.0,[],[]
ALL,TEST,40,13794.5551,1.1615,1229.8943,0.1036,15024.4494,1.2651,151.9665,0.6103,30.4,0.1221,182.3665,0.7324,1.2542,11900,11646,0,249,0,5,0,5138,4986,6109,6035,653,625,97.8655462184874,66307.93600000089,19781.11599999982,66307.93600000089,53278.0500000091,0.0,0.0,8.945028204239383,11.4593,13.0135,26.8095,8.8362,140.0562,3.1124,0.4527,0.4527,2.4258,0.6065,137.1777,3.4294,0,0,0,-1.0,[],[]
ALL,TEST,50,15826.3144,1.0652,2638.4814,0.1776,18464.7957,1.2428,286.8926,0.6863,114.671,0.2743,401.5636,0.9607,1.235,14950,14525,0,418,0,7,0,5736,5552,7768,7591,1446,1382,97.1571906354515,135868.8680000012,54762.58799999982,135868.8680000012,61911.2000000167,0.0,0.0,9.510973975900102,11.2707,20.6386,29.1542,8.5739,165.5212,3.0095,0.8094,0.8094,2.5841,0.646,162.1277,3.2426,0,0,0,-1.0,[],[]
ALL,TEST,60,18139.8793,1.0232,6836.6842,0.3856,24976.5635,1.4088,415.5485,0.6534,670.0271,1.0535,1085.5756,1.7069,1.4191,17900,17254,0,636,0,10,0,4678,4451,11249,10880,1973,1923,96.39106145251397,323432.96799998725,143451.95600000018,323432.96799998725,76793.45000003163,0.0,0.0,9.659021012771039,10.9385,37.3347,30.1453,8.0712,204.804,3.1508,1.6545,1.6545,2.5671,0.6418,200.5824,3.343,0,0,0,-1.0,[],[]
ALL,TEST,70,21880.563,1.0749,13172.9252,0.6472,35053.4883,1.7221,644.5613,0.6338,1721.8261,1.693,2366.3873,2.3268,1.7509,20850,19824,0,1017,0,9,0,6028,5688,12221,11621,2601,2515,95.07913669064749,398437.9559999891,171408.5079999996,398437.9559999891,91672.9000000469,0.0,0.0,9.333279803227795,15.9351,40.2744,34.6599,13.5723,240.5169,3.2069,1.7579,1.7579,2.9726,0.7432,235.7864,3.3684,0,0,0,-1.0,[],[]
ALL,TEST,80,26056.0848,1.1285,19473.1482,0.8434,45529.233,1.9718,926.1753,0.6606,3300.7724,2.3543,4226.9476,3.0149,2.0315,23800,22380,0,1402,0,18,0,6444,6033,13553,12715,3803,3632,94.03361344537815,504628.9719999747,218447.13599999988,504628.9719999747,107158.2500000587,0.0,0.0,9.671976399812552,19.3803,44.5633,40.2056,17.1203,281.392,3.3105,1.949,1.949,3.4692,0.8673,275.9739,3.4497,0,0,0,-1.0,[],[]
ALL,TEST,90,28884.2211,1.1266,24470.3672,0.9545,53354.5882,2.0811,1220.9147,0.6293,6490.2199,3.3455,7711.1346,3.9748,2.2143,26850,24868,0,1940,0,42,0,6691,6152,14230,12928,5929,5788,92.61824953445065,585309.1079999711,254124.67200000017,585309.1079999711,114910.80000007202,0.0,0.0,10.673198218858074,20.1704,47.2344,44.9964,17.8302,305.4551,3.2153,2.0668,2.0668,3.9079,0.977,299.4804,3.3276,0,0,0,-1.0,[],[]
ALL,TEST,100,34915.5329,1.251,31656.6101,1.1342,66572.143,2.3852,2058.8822,0.728,12300.7158,4.3496,14359.598,5.0777,2.633,29800,26926,0,2828,0,46,0,7451,6720,15450,13502,6899,6704,90.35570469798658,663718.187999956,287577.703999999,663718.187999956,130155.85000008262,0.0,0.0,10.77976779764613,29.5167,50.1995,49.2644,27.8554,342.0543,3.2577,2.1793,2.1793,4.2762,1.0691,335.5988,3.356,0,0,0,-1.0,[],[]
