Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Tasks total time (s),Average total time (s),Tasks wasted execution delay (s),Average wasted execution delay (s),Tasks wasted waiting time (s),Average wasted waiting time (s),Tasks wasted total time (s),Average wasted total time (s),Average real total time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Tasks success rate,Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,TEST,10,1284.0261,0.421,449.2,0.1473,1733.2261,0.5683,14.2003,0.4897,5.8,0.2,20.0003,0.6897,0.5694,3050,3021,0,29,0,0,0,2246,2217,804,804,0,0,99.04918032786885,16223.92000000009,11367.872000000123,16223.92000000009,7945.000000000655,0.0,0.0,9.816038016729696,1.1239,11.2414,0.2805,0,21.5838,1.4389,0.4723,0.4723,0.0045,0.0011,21.1069,2.1107,0,0,0,-1.0,[],[]
ALL,TEST,20,4263.5917,0.711,480,0.08,4743.5917,0.791,25.2105,0.4502,10.4,0.1857,35.6105,0.6359,0.7896,6000,5942,0,56,0,2,0,2401,2349,3400,3396,199,197,99.03333333333333,54981.58000000139,28811.079999999987,54981.58000000139,22834.849999996306,0.0,0.0,9.053845558836565,5.4084,22.1028,3.9063,4.518,60.1539,2.4062,0.9859,0.9859,0.2861,0.0715,58.882,2.9441,0,0,0,-1.0,[],[]
ALL,TEST,30,8892.7923,0.9964,545.1,0.0611,9437.8923,1.0575,72.2145,0.4199,27,0.157,99.2145,0.5768,1.0484,8950,8774,0,172,0,4,0,2744,2609,5681,5646,525,519,98.03351955307262,73356.1839999999,33626.11200000008,73356.1839999999,38407.74999999902,0.0,0.0,10.460715111457343,4.3836,19.8247,16.2873,0.8804,103.757,2.9645,0.8356,0.8356,1.4352,0.3588,101.4862,3.3829,0,0,0,-1.0,[],[]
ALL,TEST,40,13681.5603,1.1518,1260.291,0.1061,14941.8513,1.2579,137.4069,0.6107,27.6,0.1227,165.0069,0.7334,1.2482,11900,11670,0,225,0,5,0,5107,4969,6072,5997,721,704,98.0672268907563,71279.16400000056,21500.35599999977,71279.16400000056,53308.1000000093,0.0,0.0,9.231445426768328,8.1249,13.5463,27.929,4.5983,141.7337,3.1496,0.4794,0.4794,2.5346,0.6337,138.7197,3.468,0,0,0,-1.0,[],[]
ALL,TEST,50,15342.5731,1.0334,2898.566,0.1952,18241.1391,1.2286,262.959,0.6352,146.0756,0.3528,409.0346,0.988,1.2221,14950,14523,0,414,0,13,0,5491,5283,8137,7963,1322,1277,97.1438127090301,161606.19200000062,68487.38000000015,161606.19200000062,61910.35000001656,0.0,0.0,9.196531203809327,7.526,24.3481,29.1584,4.0809,167.4488,3.0445,0.9957,0.9957,2.5729,0.6432,163.8802,3.2776,0,0,0,-1.0,[],[]
ALL,TEST,60,18039.1511,1.0178,7475.0706,0.4217,25514.2217,1.4395,401.8598,0.6279,693.0214,1.0828,1094.8812,1.7108,1.449,17900,17250,0,640,0,10,0,4760,4534,11555,11188,1585,1528,96.36871508379889,330750.183999989,146424.52000000002,330750.183999989,76773.25000003155,0.0,0.0,8.622298744912968,10.8281,38.1842,29.7765,7.9629,204.3152,3.1433,1.694,1.694,2.5241,0.631,200.0972,3.335,0,0,0,-1.0,[],[]
ALL,TEST,70,21483.038,1.0583,14058.0674,0.6925,35541.1055,1.7508,681.0869,0.6468,1889.7186,1.7946,2570.8055,2.4414,1.7849,20850,19784,0,1053,0,13,0,5811,5474,11931,11297,3108,3013,94.88729016786571,419698.2759999814,181845.51600000044,419698.2759999814,91657.80000004644,0.0,0.0,10.1083306882397,11.6962,42.036,36.6614,8.5962,244.9284,3.2657,1.85,1.85,3.1784,0.7946,239.9001,3.4271,0,0,0,-1.0,[],[]
ALL,TEST,80,25952.2817,1.1262,19458.5777,0.8444,45410.8594,1.9706,925.331,0.6507,3529.0287,2.4817,4454.3597,3.1325,2.0381,23800,22353,0,1422,0,25,0,6428,6016,13350,12469,4022,3868,93.9201680672269,507724.67999997956,219479.55199999962,507724.67999997956,107103.90000005835,0.0,0.0,9.803621810329938,18.6776,45.05,40.5972,16.3015,282.4074,3.3224,1.9737,1.9737,3.5123,0.8781,276.9214,3.4615,0,0,0,-1.0,[],[]
ALL,TEST,90,28908.8405,1.1227,23939.7627,0.9297,52848.6031,2.0524,1184.859,0.6575,5516.4221,3.0613,6701.2811,3.7188,2.1614,26850,25017,0,1802,0,31,0,6576,6131,14270,13046,6004,5840,93.1731843575419,585763.5319999601,253239.77599999998,585763.5319999601,115022.70000007251,0.0,0.0,10.687125002244592,21.808,47.0007,43.4685,19.737,303.8677,3.1986,2.0592,2.0592,3.7604,0.9401,298.0481,3.3116,0,0,0,-1.0,[],[]
ALL,TEST,100,35272.8379,1.2631,30954.6293,1.1085,66227.4673,2.3716,1974.3206,0.6752,11922.4677,4.0775,13896.7883,4.7527,2.5973,29800,26817,0,2924,0,59,0,7587,6825,15065,13070,7148,6922,89.98993288590604,668111.1919999478,290685.8120000002,668111.1919999478,130067.30000008385,0.0,0.0,10.760806863018432,30.3618,49.2598,49.4551,28.7739,341.9622,3.2568,2.2026,2.2026,4.3328,1.0832,335.4268,3.3543,0,0,0,-1.0,[],[]
