Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Tasks total time (s),Average total time (s),Tasks wasted execution delay (s),Average wasted execution delay (s),Tasks wasted waiting time (s),Average wasted waiting time (s),Tasks wasted total time (s),Average wasted total time (s),Average real total time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Tasks success rate,Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,TEST,10,1283.1475,0.4207,452,0.1482,1735.1475,0.5689,11.2602,0.4896,4.6,0.2,15.8602,0.6896,0.5698,3050,3027,0,23,0,0,0,2260,2237,788,788,2,2,99.24590163934427,16442.776000000078,11476.508000000102,16442.776000000078,7945.000000000631,0.0,0.0,9.651353594437394,1.1274,11.2512,0.2749,0.0085,21.5863,1.4391,0.4724,0.4724,0.0044,0.0011,21.1094,2.1109,0,0,0,-1.0,[],[]
ALL,TEST,20,4230.066,0.7051,468.4,0.0781,4698.466,0.7832,25.8501,0.4169,10,0.1613,35.8501,0.5782,0.7811,6000,5937,0,62,0,1,0,2342,2292,3415,3404,243,241,98.95,56280.76000000149,29178.747999999996,56280.76000000149,22844.949999996352,0.0,0.0,9.627399838275126,2.7372,22.1293,4.5657,0.5116,61.0864,2.4435,0.9888,0.9888,0.3504,0.0876,59.7472,2.9874,0,0,0,-1.0,[],[]
ALL,TEST,30,8969.4663,1.0048,538.8,0.0604,9508.2663,1.0651,77.6985,0.4465,28.6,0.1644,106.2985,0.6109,1.0564,8950,8773,0,174,0,3,0,2714,2571,5641,5612,595,590,98.02234636871508,73592.45600000088,33714.86800000005,73592.45600000088,38387.99999999906,0.0,0.0,10.857139865853725,8.4325,19.7179,14.976,6.3514,102.1681,2.9191,0.8317,0.8317,1.3071,0.3268,100.0292,3.3343,0,0,0,-1.0,[],[]
ALL,TEST,40,13812.8299,1.1623,1217.7254,0.1025,15030.5554,1.2648,131.9312,0.5916,26.8,0.1202,158.7312,0.7118,1.2546,11900,11674,0,223,0,3,0,4978,4844,5998,5920,924,910,98.10084033613445,67983.56400000122,20310.063999999802,67983.56400000122,53308.60000000982,0.0,0.0,10.00880867660041,10.2544,12.7674,27.4442,7.2847,141.0476,3.1344,0.4431,0.4431,2.4911,0.6228,138.1133,3.4528,0,0,0,-1.0,[],[]
ALL,TEST,50,15814.0895,1.0638,2514.4647,0.1691,18328.5542,1.2329,267.3754,0.6856,111.381,0.2856,378.7564,0.9712,1.2262,14950,14555,0,390,0,5,0,5672,5499,7406,7241,1872,1815,97.35785953177258,137537.27200000104,56022.25599999983,137537.27200000104,61902.00000001655,0.0,0.0,10.90190694473898,10.4306,20.58,29.6006,7.5363,166.8315,3.0333,0.8075,0.8075,2.6421,0.6605,163.3819,3.2676,0,0,0,-1.0,[],[]
ALL,TEST,60,18299.5876,1.0319,7131.2654,0.4021,25430.853,1.434,397.8712,0.6346,656.1446,1.0465,1054.0159,1.681,1.4425,17900,17264,0,627,0,9,0,4801,4582,11299,10929,1800,1753,96.44692737430168,314505.48799998895,138800.724,314505.48799998895,76784.20000003156,0.0,0.0,9.097196791099584,13.0354,36.473,29.3526,10.5713,203.1102,3.1248,1.6087,1.6087,2.4892,0.6223,199.0123,3.3169,0,0,0,-1.0,[],[]
ALL,TEST,70,21768.8467,1.071,14310.8905,0.7041,36079.7372,1.7751,644.4196,0.6196,1885.0422,1.8125,2529.4618,2.4322,1.8071,20850,19798,0,1040,0,12,0,6072,5719,12599,11986,2179,2093,94.95443645083932,409196.1759999879,176742.54800000056,409196.1759999879,91650.90000004636,0.0,0.0,8.447445266481317,15.0063,40.7328,35.0588,12.484,240.6638,3.2089,1.778,1.778,3.0042,0.751,235.8816,3.3697,0,0,0,-1.0,[],[]
ALL,TEST,80,26186.8999,1.1396,19784.7695,0.861,45971.6694,2.0005,1021.2588,0.6653,4066.7291,2.6493,5087.9879,3.3147,2.0828,23800,22243,0,1535,0,22,0,6572,6124,13396,12413,3832,3706,93.45798319327731,511037.7359999801,217502.4919999993,511037.7359999801,107113.70000005997,0.0,0.0,9.680102775160139,17.9641,44.1386,42.1249,15.4054,282.9929,3.3293,2.0066,2.0066,3.6785,0.9196,277.3078,3.4663,0,0,0,-1.0,[],[]
ALL,TEST,90,29236.7111,1.1339,23935.1462,0.9283,53171.8573,2.0622,1182.0432,0.6637,5265.9135,2.9567,6447.9566,3.6204,2.1629,26850,25039,0,1781,0,30,0,6894,6426,14473,13274,5483,5339,93.25512104283054,568945.343999967,244342.80399999957,568945.343999967,114920.4500000718,0.0,0.0,10.353985505366547,22.6864,45.7809,43.522,20.7154,302.019,3.1791,1.988,1.988,3.7567,0.9392,296.2743,3.2919,0,0,0,-1.0,[],[]
ALL,TEST,100,35114.9525,1.26,30037.4657,1.0778,65152.4183,2.3378,1889.5411,0.6693,12107.367,4.2888,13996.9081,4.9582,2.5788,29800,26926,0,2823,0,51,0,7234,6480,14873,12978,7693,7468,90.35570469798658,668808.7439999584,292009.63599999936,668808.7439999584,129650.90000008236,0.0,0.0,11.372289874051788,30.0264,49.4034,48.1276,28.4967,342.789,3.2647,2.1845,2.1845,4.2595,1.0649,336.3449,3.3634,0,0,0,-1.0,[],[]
