Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Tasks total time (s),Average total time (s),Tasks wasted execution delay (s),Average wasted execution delay (s),Tasks wasted waiting time (s),Average wasted waiting time (s),Tasks wasted total time (s),Average wasted total time (s),Average real total time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Tasks success rate,Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,TEST,10,1284.2702,0.4212,450.4,0.1477,1734.6702,0.5689,8.3202,0.4894,3.4,0.2,11.7202,0.6894,0.5696,3050,3032,0,17,0,1,0,2252,2235,769,769,29,28,99.40983606557377,16652.42000000013,11644.732000000113,16652.42000000013,7944.950000000634,0.0,0.0,10.46363187804162,1.1845,11.2456,0.2683,0.1184,21.6182,1.4412,0.4724,0.4724,0.0043,0.0011,21.1415,2.1141,0,0,0,-1.0,[],[]
ALL,TEST,20,4178.8959,0.6971,479.4,0.08,4658.2959,0.777,26.5365,0.4656,10.6,0.186,37.1365,0.6515,0.7758,6000,5941,0,57,0,2,0,2400,2347,3328,3324,272,270,99.01666666666667,55195.45600000144,28754.196000000018,55195.45600000144,22844.59999999636,0.0,0.0,9.407757143245606,4.1504,22.8053,3.8679,2.6899,60.6927,2.4277,1.0203,1.0203,0.2844,0.0711,59.388,2.9694,0,0,0,-1.0,[],[]
ALL,TEST,30,8996.4447,1.0081,537.2,0.0602,9533.6447,1.0683,67.8251,0.4266,24.4,0.1535,92.2251,0.58,1.0598,8950,8789,0,159,0,2,0,2709,2587,5899,5862,342,340,98.20111731843575,71699.76800000043,33064.88799999999,71699.76800000043,38417.49999999915,0.0,0.0,9.36467009105513,7.8771,19.4702,15.3009,5.5833,102.0306,2.9152,0.8197,0.8197,1.3317,0.3329,99.8792,3.3293,0,0,0,-1.0,[],[]
ALL,TEST,40,13769.158,1.1592,1157.2449,0.0974,14926.4029,1.2566,141.4199,0.5634,29.8,0.1187,171.2199,0.6822,1.2448,11900,11644,0,251,0,5,0,4867,4718,6071,5985,962,941,97.84873949579831,67649.93200000096,20281.123999999796,67649.93200000096,53288.200000009645,0.0,0.0,10.061729625773781,10.7177,13.1819,27.0231,7.8975,140.8556,3.1301,0.4661,0.4661,2.4493,0.6123,137.9402,3.4485,0,0,0,-1.0,[],[]
ALL,TEST,50,15638.7185,1.052,2623.2413,0.1765,18261.9598,1.2285,264.5254,0.6697,115.7051,0.2929,380.2306,0.9626,1.2216,14950,14549,0,395,0,6,0,5606,5417,7631,7464,1713,1668,97.31772575250837,145952.65600000182,60249.85199999988,145952.65600000182,61931.75000001688,0.0,0.0,10.33661185173025,8.5838,21.9167,29.8743,5.3006,167.5907,3.0471,0.8751,0.8751,2.6578,0.6644,164.0579,3.2812,0,0,0,-1.0,[],[]
ALL,TEST,60,18305.618,1.0315,5916.7399,0.3334,24222.3579,1.3649,386.0291,0.6328,510.7335,0.8373,896.7627,1.4701,1.3684,17900,17281,0,610,0,9,0,4557,4336,11157,10780,2186,2165,96.54189944134079,314893.37999998766,142344.1800000002,314893.37999998766,76785.30000003168,0.0,0.0,10.083677276256404,14.8476,37.124,27.9509,12.7728,202.28,3.112,1.6474,1.6474,2.3512,0.5878,198.2814,3.3047,0,0,0,-1.0,[],[]
ALL,TEST,70,21691.9707,1.0663,13572.3616,0.6672,35264.3323,1.7335,638.1886,0.6566,1695.1483,1.744,2333.3369,2.4006,1.7639,20850,19868,0,972,0,10,0,5791,5509,11968,11376,3091,2983,95.29016786570743,415270.39599998563,180685.2679999997,415270.39599998563,91662.10000004603,0.0,0.0,9.866259156770134,14.6623,41.4063,34.9602,12.0924,242.6476,3.2353,1.8195,1.8195,3.0154,0.7538,237.8127,3.3973,0,0,0,-1.0,[],[]
ALL,TEST,80,25778.4102,1.1242,20191.3294,0.8805,45969.7396,2.0047,994.648,0.6578,4042.4254,2.6736,5037.0735,3.3314,2.0868,23800,22266,0,1512,0,22,0,6264,5833,13164,12197,4372,4236,93.5546218487395,518425.85599997966,223104.6159999993,518425.85599997966,107173.45000005832,0.0,0.0,10.159589503810892,16.2542,45.6174,42.2337,13.4775,285.1107,3.3542,2.0028,2.0028,3.6763,0.9191,279.4315,3.4929,0,0,0,-1.0,[],[]
ALL,TEST,90,28833.4303,1.1244,25515.3801,0.995,54348.8103,2.1194,1346.0925,0.6805,6341.7496,3.2061,7687.8421,3.8867,2.246,26850,24839,0,1978,0,33,0,6550,6019,14213,12923,6087,5897,92.51024208566108,591442.1239999615,255297.77199999953,591442.1239999615,114990.60000007201,0.0,0.0,10.47162430409842,20.1763,47.1377,44.7429,17.8573,305.7069,3.218,2.0665,2.0665,3.89,0.9725,299.7504,3.3306,0,0,0,-1.0,[],[]
ALL,TEST,100,34679.8648,1.2388,29827.9177,1.0655,64507.7825,2.3043,1749.0463,0.6468,11174.904,4.1327,12923.9503,4.7796,2.5223,29800,27056,0,2704,0,40,0,7115,6392,14801,12976,7884,7688,90.79194630872483,661273.5479999548,288796.3959999997,661273.5479999548,130164.15000008167,0.0,0.0,11.297221836048038,28.1383,49.7953,49.5736,26.3483,344.046,3.2766,2.1692,2.1692,4.3246,1.0812,337.5521,3.3755,0,0,0,-1.0,[],[]
ALL,TEST,110,40065.241,1.3423,37000.2702,1.2396,77065.5112,2.5818,3660.8042,0.9226,21937.2664,5.5285,25598.0706,6.4511,3.0359,32750,28734,0,3968,0,48,0,7886,6917,15546,12834,9318,8983,87.73740458015267,747408.6919999355,326189.90399999946,747408.6919999355,144395.35000004424,0.0,0.0,12.006896480995131,36.3062,50.8286,52.1271,35.1273,379.3722,3.2989,2.272,2.272,4.7106,1.1776,372.3896,3.3854,0,0,0,-1.0,[],[]
ALL,TEST,120,45396.8502,1.4141,41057.1025,1.279,86453.9527,2.6931,4128.6745,0.861,29148.6371,6.079,33277.3116,6.94,3.245,35700,30819,0,4795,0,86,0,8283,7097,16501,13228,10916,10494,86.32773109243698,814747.747999944,360339.87600000005,814747.747999944,159011.6499999993,0.0,0.0,12.20187048122068,43.546,53.122,54.5952,42.7992,410.9972,3.288,2.3323,2.3323,4.8378,1.2095,403.8271,3.3652,0,0,0,-1.0,[],[]
ALL,TEST,130,48282.695,1.4014,42811.2302,1.2426,91093.9252,2.6441,6049.273,1.0845,36925.4003,6.6198,42974.6734,7.7043,3.3492,38750,33083,0,5578,0,89,0,8380,6933,16645,12976,13725,13174,85.37548387096774,897987.7839999022,406598.4040000004,897987.7839999022,167130.34999997818,0.0,0.0,12.585376975426739,46.0433,55.5623,57.625,45.3273,437.1018,3.2378,2.444,2.444,5.1199,1.28,429.5379,3.3041,0,0,0,-1.0,[],[]
ALL,TEST,140,53275.2777,1.4732,49996.5841,1.3825,103271.8618,2.8557,7636.2634,1.1002,50386.5566,7.2593,58022.8199,8.3594,3.7419,41700,34635,0,6941,0,124,0,9089,7339,18319,13682,14292,13614,83.05755395683454,967566.5159998983,435656.55599999975,967566.5159998983,181376.59999994107,0.0,0.0,12.593844343263648,52.9548,55.5774,57.5681,52.7039,465.7224,3.2119,2.4637,2.4637,5.1492,1.2873,458.1095,3.2722,0,0,0,-1.0,[],[]
ALL,TEST,150,59844.6523,1.5559,52523.6464,1.3656,112368.2988,2.9215,7926.482,1.0262,58934.9433,7.6301,66861.4252,8.6563,3.8805,44650,36779,0,7724,0,147,0,9209,7202,18320,13334,17121,16243,82.37178051511758,1052035.8159999023,476663.3919999986,1052035.8159999023,196358.99999989758,0.0,0.0,12.798288262087212,58.9786,58.0315,60.0843,58.94,501.9201,3.2382,2.5381,2.5381,5.3084,1.3271,494.0736,3.2938,0,0,0,-1.0,[],[]
ALL,TEST,160,65890.0415,1.6207,53877.573,1.3252,119767.6145,2.946,9859.5423,1.1609,71268.166,8.3914,81127.7083,9.5523,4.0876,47600,38983,0,8493,0,124,0,9188,6975,18292,12826,20120,19182,81.8970588235294,1145505.7679998865,529822.8440000013,1145505.7679998865,211060.7499998695,0.0,0.0,13.843995409550136,62.2553,60.1933,62.8005,62.2541,537.3523,3.2567,2.6439,2.6439,5.5699,1.3925,529.1384,3.3071,0,0,0,-1.0,[],[]
ALL,TEST,170,68280.5731,1.5924,57341.7503,1.3373,125622.3234,2.9298,11639.1245,1.255,86415.1497,9.318,98054.2742,10.573,4.2889,50650,41196,0,9274,0,180,0,9120,6664,18547,12665,22983,21867,81.33464955577493,1254585.2279998797,587513.1359999991,1254585.2279998797,217199.84999984375,0.0,0.0,13.65170734369332,63.8254,61.7617,64.71,63.811,560.2049,3.2012,2.7704,2.7704,5.8452,1.4613,551.5893,3.2446,0,0,0,-1.0,[],[]
ALL,TEST,180,73866.4149,1.6688,62092.1363,1.4028,135958.5512,3.0715,14273.9346,1.3157,109484.458,10.0917,123758.3927,11.4074,4.7124,53600,42524,0,10849,0,227,0,9492,6479,19232,12541,24876,23504,79.33582089552239,1361519.9479998825,657196.28,1361519.9479998825,232428.4999998064,0.0,0.0,13.827199216983576,69.0868,65.4907,67.4089,69.1822,596.4745,3.2242,2.9416,2.9416,6.0803,1.5201,587.4526,3.2636,0,0,0,-1.0,[],[]
ALL,TEST,190,78645.7054,1.6773,62663.1494,1.3365,141308.8548,3.0138,14804.0158,1.3031,109098.6066,9.6029,123902.6224,10.906,4.5531,56550,44954,0,11361,0,235,0,9894,6805,20324,13180,26332,24969,79.49425287356321,1407159.295999892,664427.7839999975,1407159.295999892,247104.4999997668,0.0,0.0,13.697201965605585,70.8678,65.5642,67.0791,71.0473,623.8377,3.1992,2.8787,2.8787,5.9141,1.4785,615.0448,3.2371,0,0,0,-1.0,[],[]
ALL,TEST,200,84917.3467,1.7212,63855.5748,1.2943,148772.9216,3.0154,15858.0884,1.3382,119807.6921,10.1104,135665.7805,11.4486,4.6487,59500,47382,0,11850,0,268,0,9671,6523,19635,12280,30194,28579,79.63361344537815,1507589.9199998586,719723.5200000015,1507589.9199998586,261408.64999973396,0.0,0.0,14.178153161660777,72.9077,65.9889,69.3494,73.0839,663.399,3.2361,2.9569,2.9569,6.2571,1.5643,654.1849,3.2709,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,10,2819.6112,0.9421,218.7,0.0731,3038.3112,1.0151,619.5098,7.555,1606.1315,19.587,2225.6414,27.142,1.7119,3050,2965,0,82,0,3,0,1091,1076,922,913,1037,976,97.21311475409836,7677.696000000003,4305.891999999974,7677.696000000003,6908.100000000348,0.0,0.0,17.167030345951257,25.1481,7.2847,1.1808,44.1035,20.2349,1.349,0.3184,0.3184,0.0831,0.0208,19.8334,1.9833,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,20,8231.7125,1.3959,553.7689,0.0939,8785.4814,1.4898,2383.4668,14.4453,4543.9218,27.5389,6927.3886,41.9842,2.592,6000,5833,0,165,0,2,0,1801,1773,1480,1451,2719,2609,97.21666666666667,36607.948000000375,19213.148000000034,36607.948000000375,20532.29999999821,0.0,0.0,15.923782942036095,38.4846,17.3512,3.5956,51.8753,57.4192,2.2968,0.806,0.806,0.3054,0.0763,56.3079,2.8154,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,30,13711.2266,1.6001,1406.5944,0.1641,15117.821,1.7642,5199.0062,10.9916,19217.7724,40.6295,24416.7786,51.6211,4.3723,8950,8461,0,473,0,16,0,2596,2514,2411,2334,3943,3613,94.53631284916202,79166.69600000196,41128.216,79166.69600000196,33772.649999996866,0.0,0.0,16.55870384852385,45.0658,25.8677,6.6188,54.6761,94.9384,2.7125,1.1787,1.1787,0.56,0.14,93.1996,3.1067,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,40,18781.5911,1.6105,2513.732,0.2155,21295.3231,1.826,3375.0207,8.172,3359.8013,8.1351,6734.822,16.3071,2.3213,11900,11479,0,413,0,8,0,2773,2660,3454,3373,5673,5446,96.46218487394958,128618.45600000283,62671.52800000005,128618.45600000283,48047.350000004,0.0,0.0,17.708269914362187,49.8477,31.5435,11.2249,57.0475,133.0159,2.9559,1.4508,1.4508,0.9779,0.2445,130.5871,3.2647,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,50,22967.6295,1.5651,2965.0143,0.202,25932.6438,1.7671,2448.4581,4.8774,2223.2661,4.4288,4671.7242,9.3062,2.0165,14950,14428,0,502,0,20,0,2864,2729,4145,4031,7941,7668,96.50836120401338,160000.72399999923,75108.2080000001,160000.72399999923,58216.40000000786,0.0,0.0,19.176544138966907,48.5744,34.2833,16.3123,53.3524,160.9673,2.9267,1.5808,1.5808,1.4472,0.3618,157.9393,3.1588,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,60,29842.7725,1.7217,3641.1908,0.2101,33483.9633,1.9318,6841.858,8.4572,7327.8292,9.0579,14169.6871,17.5151,2.6267,17900,17046,0,809,0,45,0,3487,3286,6109,5919,8304,7841,95.22905027932961,202394.1279999943,93582.79200000007,202394.1279999943,67222.40000001359,0.0,0.0,16.22541040381678,55.8973,31.8664,21.7785,60.3558,189.5772,2.9166,1.4598,1.4598,1.9511,0.4878,186.1662,3.1028,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,70,35184.7066,1.7363,5655.9922,0.2791,40840.6988,2.0154,6582.1355,7.3957,6258.316,7.0318,12840.4515,14.4275,2.5376,20850,19935,0,890,0,25,0,3674,3387,6423,6245,10753,10303,95.61151079136691,268073.45599998464,126046.78799999958,268073.45599998464,81185.60000002448,0.0,0.0,17.630111599371126,58.5824,37.8657,24.9339,62.2802,227.4336,3.0324,1.7547,1.7547,2.2558,0.5639,223.4232,3.1918,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,80,40202.7066,1.7448,8159.1607,0.3541,48361.8673,2.0989,8218.6761,6.6333,7398.0453,5.971,15616.7214,12.6043,2.6349,23800,22519,0,1239,0,42,0,4180,3804,7437,7138,12183,11577,94.61764705882354,328676.767999983,150959.25199999995,328676.767999983,95644.10000003126,0.0,0.0,18.016318534828912,63.7022,41.7902,30.5978,66.9174,265.7539,3.1265,1.8945,1.8945,2.7255,0.6814,261.1338,3.2642,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,90,45103.0629,1.7418,10831.8896,0.4183,55934.9526,2.1601,8992.3581,6.1507,10575.8319,7.2338,19568.19,13.3845,2.7599,26850,25351,0,1462,0,37,0,4448,3989,7671,7316,14731,14046,94.41713221601489,367914.73999996926,171659.23999999976,367914.73999996926,101135.7000000383,0.0,0.0,18.09959134140266,60.41,40.6726,33.8272,62.7446,285.6081,3.0064,1.8333,1.8333,3.0443,0.7611,280.7305,3.1192,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,100,50320.5178,1.7898,15396.653,0.5476,65717.1708,2.3374,12292.3039,5.7174,24237.6699,11.2733,36529.9738,16.9907,3.3784,29800,27591,0,2150,0,59,0,4546,3804,7296,6674,17958,17113,92.58724832214764,409355.2839999581,195102.4120000001,409355.2839999581,116569.00000004166,0.0,0.0,20.484925736353222,64.1408,44.25,39.7478,66.0985,328.0293,3.1241,2.0308,2.0308,3.6833,0.9208,322.3152,3.2232,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,110,53821.9652,1.7471,17065.236,0.554,70887.2012,2.3011,17148.2659,6.5302,29743.7719,11.3266,46892.0378,17.8568,3.5229,32750,30065,0,2626,0,59,0,4909,4181,8251,7516,19590,18368,91.80152671755725,514534.5599999384,240655.4519999999,514534.5599999384,126844.65000005219,0.0,0.0,19.295711505518607,62.971,47.4212,42.9832,64.4179,362.0463,3.1482,2.2308,2.2308,4.0678,1.0169,355.7477,3.2341,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,120,59512.8364,1.7924,18687.9261,0.5629,78200.7625,2.3553,22671.0184,7.2478,61648.8975,19.7087,84319.916,26.9565,4.4735,35700,32525,0,3128,0,47,0,5283,4113,8198,7575,22219,20837,91.10644257703082,554415.4919999327,271047.28800000023,554415.4919999327,135108.7500000442,0.0,0.0,20.616577843033287,69.4434,50.3075,39.8806,71.3516,385.8188,3.0866,2.3434,2.3434,3.7316,0.9329,379.7438,3.1645,0,0,0,-1.0,[],[]
