Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Tasks total time (s),Average total time (s),Tasks wasted execution delay (s),Average wasted execution delay (s),Tasks wasted waiting time (s),Average wasted waiting time (s),Tasks wasted total time (s),Average wasted total time (s),Average real total time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Tasks success rate,Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,TEST,10,1286.6591,0.4219,448.6,0.1471,1735.2591,0.5689,11.7402,0.4892,4.8,0.2,16.5402,0.6892,0.5699,3050,3026,0,24,0,0,0,2243,2219,804,804,3,3,99.21311475409836,16363.40400000012,11314.02000000012,16363.40400000012,7945.000000000638,0.0,0.0,9.827458214227091,1.1327,11.2167,0.2917,0.0127,21.5875,1.4392,0.4712,0.4712,0.0056,0.0014,21.1107,2.1111,0,0,0,-1.0,[],[]
ALL,TEST,20,4308.0174,0.7181,469,0.0782,4777.0174,0.7963,21.6913,0.4171,8.4,0.1615,30.0913,0.5787,0.7944,6000,5948,0,52,0,0,0,2346,2304,3277,3270,377,374,99.13333333333334,55029.05600000159,28321.499999999935,55029.05600000159,22844.899999996396,0.0,0.0,10.514295178734212,4.3729,21.5907,4.4386,2.9161,60.8256,2.433,0.9623,0.9623,0.3418,0.0855,59.5214,2.9761,0,0,0,-1.0,[],[]
ALL,TEST,30,9006.8289,1.0097,531.9001,0.0596,9538.729,1.0694,80.2572,0.4459,30.4,0.1689,110.6572,0.6148,1.0604,8950,8769,0,180,0,1,0,2680,2528,5813,5787,457,454,97.97765363128492,72287.86800000013,33353.13600000008,72287.86800000013,38417.04999999892,0.0,0.0,10.055816769651393,8.6979,19.5014,15.0106,6.6949,101.9087,2.9117,0.8216,0.8216,1.3066,0.3266,99.7805,3.326,0,0,0,-1.0,[],[]
ALL,TEST,40,13700.6009,1.1538,1189.7648,0.1002,14890.3657,1.254,166.8593,0.632,31,0.1174,197.8593,0.7495,1.2431,11900,11631,0,264,0,5,0,4970,4815,5910,5839,1020,977,97.73949579831933,68970.9920000013,20627.17199999975,68970.9920000013,53297.750000009735,0.0,0.0,10.206284287412828,7.9787,13.24,28.1486,4.3978,142.4733,3.1661,0.467,0.467,2.5659,0.6415,139.4403,3.486,0,0,0,-1.0,[],[]
ALL,TEST,50,15486.1053,1.042,2936.0795,0.1976,18422.1848,1.2395,254.653,0.6366,135.4253,0.3386,390.0783,0.9752,1.2326,14950,14543,0,400,0,7,0,5577,5385,8153,7988,1220,1170,97.27759197324414,158216.9159999994,67193.86400000012,158216.9159999994,61921.600000016675,0.0,0.0,9.036665641330671,9.1855,23.5051,28.7403,6.1009,166.4065,3.0256,0.9526,0.9526,2.5347,0.6337,162.9191,3.2584,0,0,0,-1.0,[],[]
ALL,TEST,60,17844.06,1.0077,7591.2329,0.4287,25435.293,1.4364,426.7663,0.6456,735.732,1.1131,1162.4984,1.7587,1.448,17900,17227,0,661,0,12,0,4669,4439,11329,10937,1902,1851,96.24022346368714,337119.8359999887,149922.87199999992,337119.8359999887,76751.95000003168,0.0,0.0,9.198177616494359,9.0436,39.2686,30.2729,5.8452,206.0199,3.1695,1.7483,1.7483,2.5792,0.6448,201.6924,3.3615,0,0,0,-1.0,[],[]
ALL,TEST,70,21735.8695,1.0656,13016.4418,0.6381,34752.3113,1.7037,607.111,0.6331,1595.1247,1.6633,2202.2357,2.2964,1.7303,20850,19883,0,959,0,8,0,5784,5477,12124,11563,2942,2843,95.3621103117506,413314.49599998776,181588.016,413314.49599998776,91657.1500000459,0.0,0.0,9.726142208101075,16.0266,41.9279,33.7477,13.7221,241.1727,3.2156,1.8465,1.8465,2.8899,0.7225,236.4362,3.3777,0,0,0,-1.0,[],[]
ALL,TEST,80,26017.6308,1.131,20273.011,0.8812,46290.6417,2.0122,938.5169,0.6402,3803.3813,2.5944,4741.8982,3.2346,2.0854,23800,22314,0,1466,0,20,0,6526,6107,13511,12566,3763,3641,93.75630252100841,508598.4119999829,218656.83999999965,508598.4119999829,107189.70000005838,0.0,0.0,9.367680456969916,17.9811,44.8812,41.3988,15.4692,282.5449,3.3241,1.9614,1.9614,3.5817,0.8954,277.0018,3.4625,0,0,0,-1.0,[],[]
ALL,TEST,90,28805.6116,1.1207,25389.0102,0.9877,54194.6218,2.1084,1197.4884,0.6316,6015.5876,3.1728,7213.076,3.8044,2.2249,26850,24916,0,1896,0,38,0,6956,6439,14520,13229,5374,5248,92.79702048417133,581108.467999968,251682.12400000024,581108.467999968,115059.000000072,0.0,0.0,9.933233219979645,19.7858,46.8642,45,17.4166,304.2381,3.2025,2.0358,2.0358,3.897,0.9743,298.3052,3.3145,0,0,0,-1.0,[],[]
ALL,TEST,100,34698.3061,1.2363,29583.9296,1.0541,64282.2356,2.2904,1691.997,0.6278,10847.8162,4.0252,12539.8132,4.653,2.4974,29800,27066,0,2695,0,39,0,7055,6332,14908,13079,7837,7655,90.8255033557047,665251.919999957,290757.6039999993,665251.919999957,130253.05000008259,0.0,0.0,11.226510403750552,29.4059,49.9335,48.231,27.8087,342.4663,3.2616,2.1771,2.1771,4.1918,1.0479,336.0974,3.361,0,0,0,-1.0,[],[]
