Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Tasks total time (s),Average total time (s),Tasks wasted execution delay (s),Average wasted execution delay (s),Tasks wasted waiting time (s),Average wasted waiting time (s),Tasks wasted total time (s),Average wasted total time (s),Average real total time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Tasks success rate,Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,TEST,10,1289.4749,0.4228,450.8,0.1478,1740.2749,0.5706,9.8002,0.49,4,0.2,13.8002,0.69,0.5714,3050,3030,0,20,0,0,0,2254,2234,558,558,238,238,99.34426229508196,16468.436000000158,11485.580000000125,16468.436000000158,7945.000000000637,0.0,0.0,13.230783026809792,1.6421,11.247,0.1947,1.0063,21.8781,1.4585,0.4724,0.4724,0.0031,0.0008,21.4026,2.1403,0,0,0,-1.0,[],[]
ALL,TEST,20,4235.0249,0.7063,465.4,0.0776,4700.4249,0.7839,24.3657,0.4351,9.4,0.1679,33.7657,0.603,0.7823,6000,5944,0,56,0,0,0,2331,2284,3101,3094,568,566,99.06666666666666,56107.78000000187,29024.243999999955,56107.78000000187,22844.599999996357,0.0,0.0,12.366907872146651,3.1963,22.1402,4.4469,1.2008,61.4896,2.4596,0.9897,0.9897,0.3476,0.0869,60.1523,3.0076,0,0,0,-1.0,[],[]
ALL,TEST,30,8950.3118,1.0029,555.0361,0.0622,9505.3479,1.0651,58.0403,0.4087,22,0.1549,80.0403,0.5637,1.0573,8950,8802,0,142,0,6,0,2784,2674,5678,5648,488,480,98.3463687150838,71929.66400000076,32633.947999999975,71929.66400000076,38407.749999999025,0.0,0.0,10.202770340631826,4.9631,19.3737,16.3247,1.6378,103.4609,2.956,0.8125,0.8125,1.4387,0.3597,101.2096,3.3737,0,0,0,-1.0,[],[]
ALL,TEST,40,13757.3086,1.158,1194.5272,0.1005,14951.8358,1.2586,168.3206,0.6449,28.2,0.108,196.5206,0.753,1.2477,11900,11638,0,261,0,1,0,4935,4794,5818,5741,1147,1103,97.7983193277311,67562.92400000138,20173.243999999842,67562.92400000138,53318.0500000097,0.0,0.0,10.711386973702059,9.5533,13.1544,27.5413,6.4052,141.9896,3.1553,0.4621,0.4621,2.5121,0.628,139.0154,3.4754,0,0,0,-1.0,[],[]
ALL,TEST,50,15764.3554,1.0614,2551.5054,0.1718,18315.8609,1.2331,273.1687,0.652,139.0234,0.3318,412.1921,0.9838,1.2263,14950,14528,0,419,0,3,0,5673,5468,7603,7455,1674,1605,97.17725752508362,136368.3960000017,55497.88399999987,136368.3960000017,61920.40000001665,0.0,0.0,10.33301594103867,10.0848,20.9428,29.6129,7.1191,166.7817,3.0324,0.8251,0.8251,2.6373,0.6593,163.3193,3.2664,0,0,0,-1.0,[],[]
ALL,TEST,60,18065.7758,1.0201,7407.8549,0.4183,25473.6307,1.4384,432.5388,0.6524,730.5733,1.1019,1163.1121,1.7543,1.4498,17900,17225,0,663,0,12,0,4814,4583,11506,11118,1580,1524,96.22905027932961,326528.539999989,144913.73199999984,326528.539999989,76801.75000003191,0.0,0.0,8.535052136842799,11.171,38.0286,29.6769,8.3688,204.091,3.1399,1.6838,1.6838,2.515,0.6288,199.8922,3.3315,0,0,0,-1.0,[],[]
ALL,TEST,70,21628.3891,1.0629,13827.0354,0.6795,35455.4245,1.7424,661.4168,0.6568,1746.7993,1.7347,2408.2161,2.3915,1.773,20850,19833,0,1007,0,10,0,5852,5555,12091,11477,2907,2801,95.12230215827338,418832.5039999811,183243.25200000042,418832.5039999811,91652.65000004579,0.0,0.0,9.78315287279416,14.2243,41.8953,35.0106,11.5858,242.7111,3.2361,1.8425,1.8425,3.0161,0.754,237.8524,3.3979,0,0,0,-1.0,[],[]
ALL,TEST,80,25920.0482,1.1293,19868.1509,0.8656,45788.1992,1.9949,935.5854,0.6258,4158.8719,2.7819,5094.4573,3.4077,2.0813,23800,22282,0,1495,0,23,0,6403,5952,13139,12183,4258,4147,93.6218487394958,509983.66799997067,219838.69199999963,509983.66799997067,107125.5500000578,0.0,0.0,10.224057219796236,17.3156,44.8328,41.8688,14.6962,283.9373,3.3404,1.9613,1.9613,3.6401,0.91,278.3359,3.4792,0,0,0,-1.0,[],[]
ALL,TEST,90,28948.0557,1.1246,22980.404,0.8928,51928.4597,2.0173,1173.1168,0.6456,5316.2571,2.9258,6489.3739,3.5715,2.1198,26850,24997,0,1817,0,36,0,6650,6154,14128,12922,6072,5921,93.09869646182496,578662.4959999601,250105.17200000066,578662.4959999601,114978.75000007219,0.0,0.0,10.644129675866406,21.0011,47.0828,44.2581,18.7953,304.7283,3.2077,2.0578,2.0578,3.8389,0.9597,298.8315,3.3204,0,0,0,-1.0,[],[]
ALL,TEST,100,34878.5166,1.2439,30169.247,1.076,65047.7636,2.3199,1937.1218,0.6951,11189.7049,4.015,13126.8267,4.71,2.536,29800,26975,0,2787,0,38,0,7222,6452,15395,13513,7183,7010,90.52013422818791,704324.9679999496,290845.95199999947,704324.9679999496,136870.50000005832,0.0,0.0,10.780806935083568,30.535,49.6007,47.6655,29.0752,356.3865,3.3942,13.3289,13.3289,8.0889,2.0222,334.9687,3.3497,0,0,0,-1.0,[],[]
ALL,TEST,110,40398.2924,1.3341,35605.616,1.1758,76003.9083,2.5099,2597.2465,0.7339,17734.608,5.0112,20331.8545,5.7451,2.8484,32750,29157,0,3539,0,54,0,7921,7031,15815,13401,9014,8725,89.02900763358778,730719.3959999369,320203.3759999989,730719.3959999369,144607.90000004217,0.0,0.0,11.619142208306199,36.88,50.9098,51.3769,35.7888,376.4823,3.2738,2.2346,2.2346,4.5483,1.1371,369.6994,3.3609,0,0,0,-1.0,[],[]
ALL,TEST,120,45527.5566,1.4104,41191.6045,1.2761,86719.1612,2.6866,4016.4266,0.8754,27306.0373,5.9516,31322.4638,6.827,3.2018,35700,31051,0,4588,0,61,0,8145,7011,16081,12981,11474,11059,86.97759103641457,823581.3199999307,364669.4920000006,823581.3199999307,158861.0000000012,0.0,0.0,12.295054788300867,43.5987,52.9171,53.5852,42.9145,412.239,3.2979,2.3647,2.3647,4.8395,1.2099,405.0348,3.3753,0,0,0,-1.0,[],[]
ALL,TEST,130,49069.2296,1.414,43513.9572,1.2539,92583.1867,2.6679,5872.7653,1.0979,33151.7931,6.1978,39024.5583,7.2957,3.2859,38750,33312,0,5349,0,89,0,8578,7211,16989,13429,13183,12672,85.96645161290323,885408.679999913,397902.6080000011,885408.679999913,166799.44999997522,0.0,0.0,12.249597513618859,47.5307,53.9463,55.2556,47.0523,433.0201,3.2076,2.3949,2.3949,4.9593,1.2398,425.6659,3.2744,0,0,0,-1.0,[],[]
ALL,TEST,140,53563.9964,1.4901,50060.0436,1.3926,103624.04,2.8827,7074.6778,0.9918,54518.5819,7.6431,61593.2596,8.635,3.8351,41700,34452,0,7133,0,115,0,8892,6982,17601,12966,15207,14504,82.61870503597122,990445.295999904,449697.3200000002,990445.295999904,181431.89999994304,0.0,0.0,13.173807659272939,50.9702,57.1642,59.3081,50.4994,470.4748,3.2447,2.5504,2.5504,5.3529,1.3382,462.5715,3.3041,0,0,0,-1.0,[],[]
ALL,TEST,150,61208.2912,1.6165,54490.9317,1.4391,115699.2229,3.0556,9763.3823,1.1708,67991.5982,8.1534,77754.9806,9.3243,4.187,44650,36177,0,8339,0,134,0,9292,7043,18488,13127,16870,16007,81.02351623740202,1073273.6399999065,493697.0440000017,1073273.6399999065,196305.69999990266,0.0,0.0,13.218840327058238,62.7638,59.7199,61.8706,62.8373,503.3217,3.2472,2.6175,2.6175,5.4792,1.3698,495.225,3.3015,0,0,0,-1.0,[],[]
ALL,TEST,160,63709.5624,1.581,56907.3345,1.4122,120616.8969,2.9932,10694.6661,1.2102,74407.8494,8.42,85102.5155,9.6302,4.1869,47600,38588,0,8837,0,175,0,9305,6888,18370,12735,19925,18965,81.0672268907563,1159396.3639999176,538505.1639999996,1159396.3639999176,211137.39999986437,0.0,0.0,13.336224650255295,61.5788,61.9461,63.9694,61.4753,539.259,3.2682,2.723,2.723,5.6764,1.4191,530.8596,3.3179,0,0,0,-1.0,[],[]
